date,apparent_temperature_max,apparent_temperature_min,apparent_temperature_mean,sunrise,sunset,daylight_duration,sunshine_duration,precipitation_sum,rain_sum,snowfall_sum,precipitation_hours,wind_speed_10m_max,wind_gusts_10m_max,wind_direction_10m_dominant
2023-07-04 04:00:00+00:00,39.745937,24.170273,30.345055,0,0,52239.355,38488.266,0.2086614,0.0,1.4606297,22.0,6.362683,19.461899,343.38547
2023-07-05 04:00:00+00:00,39.115646,17.143452,29.74518,0,0,52198.844,42684.93,0.2519685,0.0,1.7637795,13.0,4.244409,19.461899,283.34445
2023-07-06 04:00:00+00:00,45.460983,20.877796,33.95216,0,0,52155.594,43048.465,0.03543307,0.0,0.2480315,8.0,7.395645,29.081,265.0784
2023-07-07 04:00:00+00:00,47.375458,23.215332,35.35374,0,0,52109.676,48782.54,0.039370075,0.0,0.27559054,3.0,8.998192,31.9891,237.85179
2023-07-08 04:00:00+00:00,48.08973,31.68161,37.524933,0,0,52061.15,28289.445,0.2559055,0.0,1.7913386,15.0,9.130688,37.1342,233.97253
2023-07-09 04:00:00+00:00,46.641453,27.797207,35.02703,0,0,52010.094,31648.43,0.118110225,0.031496063,0.60629916,11.0,6.002501,22.8174,288.5019
2023-07-10 04:00:00+00:00,46.349712,20.233568,32.860035,0,0,51956.57,37238.36,0.0,0.0,0.0,0.0,6.6095686,27.9625,253.74614
2023-07-11 04:00:00+00:00,42.846912,20.24487,30.009535,0,0,51900.65,42010.41,0.14960629,0.007874016,0.992126,12.0,6.5830164,26.620298,312.803
2023-07-12 04:00:00+00:00,34.127106,16.988281,24.694235,0,0,51842.406,45378.95,0.0,0.0,0.0,0.0,7.569527,25.501799,338.494
2023-07-13 04:00:00+00:00,37.915516,11.532492,25.930908,0,0,51781.902,48324.926,0.0,0.0,0.0,0.0,6.502709,20.133,357.45523
2023-07-14 04:00:00+00:00,41.352318,21.542795,30.471382,0,0,51719.207,40629.72,0.0,0.0,0.0,0.0,5.5924997,16.330101,21.037546
2023-07-15 04:00:00+00:00,44.984577,24.927155,32.87862,0,0,51654.39,25925.625,0.07874015,0.003937008,0.52362204,7.0,4.6548953,13.869399,48.69152
2023-07-16 04:00:00+00:00,46.736153,30.132341,35.13869,0,0,51587.523,30858.43,0.28346455,0.055118114,1.598425,11.0,5.9058495,16.7775,24.020262
2023-07-17 04:00:00+00:00,42.60103,16.996775,31.697174,0,0,51518.465,37683.113,0.19685039,0.023622049,1.2125984,5.0,5.3781123,13.6456995,2.7261927
2023-07-18 04:00:00+00:00,48.334118,25.974798,35.299526,0,0,51446.625,43931.227,0.0,0.0,0.0,0.0,5.8075895,17.0012,43.854313
2023-07-19 04:00:00+00:00,46.247784,26.045311,35.858883,0,0,51372.08,39792.07,0.0,0.0,0.0,0.0,7.203696,22.8174,101.0765
2023-07-20 04:00:00+00:00,53.095493,32.258816,38.37869,0,0,51294.934,29031.814,0.32677162,0.1456693,1.2677164,11.0,3.6415722,14.764199,91.99203
2023-07-21 04:00:00+00:00,48.123905,30.082659,36.442127,0,0,51215.312,31058.877,0.42519683,0.06692913,2.5078738,13.0,5.2031293,15.659,28.22867
2023-07-22 04:00:00+00:00,45.112812,30.445286,35.358887,0,0,51133.32,30640.254,0.24409449,0.027559057,1.5157479,14.0,5.6103673,15.8827,17.585583
2023-07-23 04:00:00+00:00,44.85193,27.702938,34.01185,0,0,51049.082,41444.195,0.28346455,0.03149606,1.7637796,10.0,5.0469017,15.659,348.95908
2023-07-24 04:00:00+00:00,46.55104,26.039698,35.03532,0,0,50962.7,37353.92,0.118110225,0.0,0.8267716,9.0,4.8393707,16.5538,315.57288
2023-07-25 04:00:00+00:00,45.080994,23.46637,33.665306,0,0,50874.285,37165.23,0.1023622,0.003937008,0.68897635,9.0,6.54872,17.6723,335.556
2023-07-26 04:00:00+00:00,42.653435,25.74352,33.713303,0,0,50783.953,44410.26,0.04330709,0.003937008,0.27559057,7.0,6.279558,17.6723,359.4299
2023-07-27 04:00:00+00:00,45.748093,29.37582,36.05572,0,0,50691.81,42552.723,0.25590548,0.03149606,1.5708659,15.0,5.1645155,15.8827,39.13969
2023-07-28 04:00:00+00:00,46.892384,29.897034,35.66068,0,0,50597.953,32060.055,0.44094485,0.047244087,2.7559052,16.0,5.1060476,16.1064,10.822958
2023-07-29 04:00:00+00:00,43.787445,19.902988,29.650045,0,0,50502.5,30258.04,0.22047244,0.015748026,1.4330709,10.0,4.5240526,14.9879,320.05386
2023-07-30 04:00:00+00:00,38.00042,23.056015,29.472267,0,0,50405.543,36235.75,0.04330708,0.0,0.30314958,6.0,4.9518104,14.093101,18.348639
2023-07-31 04:00:00+00:00,43.789936,26.189186,32.473053,0,0,50307.19,38369.273,0.08267716,0.0,0.60629916,7.0,4.7821593,15.4353,12.619284
2023-08-01 04:00:00+00:00,43.162506,25.874823,32.736988,0,0,50207.543,43338.04,0.05905512,0.0039370083,0.38582677,5.0,5.6103673,15.659,359.72583
2023-08-02 04:00:00+00:00,45.032837,25.462662,34.219334,0,0,50106.695,45145.656,0.10236219,0.01968504,0.5787401,13.0,4.8186455,14.764199,24.846647
2023-08-03 04:00:00+00:00,44.282967,25.87439,33.642292,0,0,50004.746,43048.01,0.14566928,0.03543307,0.77165353,9.0,4.5626025,14.3168,342.32657
2023-08-04 04:00:00+00:00,44.333553,26.161032,33.95215,0,0,49901.79,35915.21,0.04330709,0.011811024,0.22047244,2.0,5.833382,16.7775,355.16568
2023-08-05 04:00:00+00:00,45.931564,30.563192,36.35131,0,0,49797.914,41554.707,0.090551175,0.023622047,0.4685039,12.0,5.110945,13.869399,33.33511
2023-08-06 04:00:00+00:00,48.086285,25.562164,35.358032,0,0,49692.95,38717.12,0.26377952,0.03149607,1.6259842,11.0,4.5240526,14.5405,314.38394
2023-08-07 04:00:00+00:00,49.159485,23.299788,35.991566,0,0,49586.09,44516.0,0.011811024,0.0,0.08267716,3.0,7.1618943,26.620298,251.13629
2023-08-08 04:00:00+00:00,46.266342,21.665882,34.192543,0,0,49477.402,39703.836,0.0,0.0,0.0,0.0,5.378113,17.6723,297.33228
2023-08-09 04:00:00+00:00,46.485004,28.855026,35.61718,0,0,49366.992,43282.89,0.031496063,0.011811024,0.13779527,4.0,5.222329,15.659,7.7217107
2023-08-10 04:00:00+00:00,48.40433,30.931551,37.959194,0,0,49254.984,36011.7,0.16141732,0.04330709,0.8267717,11.0,4.9416943,14.764199,12.056723
2023-08-11 04:00:00+00:00,53.119377,28.781605,38.70699,0,0,49141.477,35685.28,0.07086614,0.059055112,0.08267717,9.0,5.956472,21.6989,316.72076
2023-08-12 04:00:00+00:00,52.391697,27.66735,38.102024,0,0,49026.598,39000.285,0.10629921,0.06692913,0.27559054,10.0,6.818264,23.2648,335.32315
2023-08-13 04:00:00+00:00,50.82999,22.536287,35.147022,0,0,48910.44,43620.414,0.04330709,0.011811024,0.22047244,7.0,6.6057816,23.4885,293.0913
2023-08-14 04:00:00+00:00,49.16668,25.834175,36.652336,0,0,48793.117,42334.16,0.0,0.0,0.0,0.0,7.063396,29.7521,261.74066
2023-08-15 04:00:00+00:00,41.61724,20.108559,30.14118,0,0,48674.734,43993.176,0.15354331,0.0,1.0748031,9.0,6.4873004,19.0145,320.66373
